,Paths,Folders,Label
0,../Data/Train/BL3-1-DL\slice01100 (2020_05_17 16_28_34 UTC)_mar_raw_2.png,BL3-1-DL/,0
1,../Data/Train/BL3-1-DL\slice00910 (2020_05_17 16_28_34 UTC)_mar_raw_1.png,BL3-1-DL/,0
2,../Data/Train/BL3-1-DL\slice01020 (2020_05_17 16_28_34 UTC)_mar_raw_2.png,BL3-1-DL/,0
3,../Data/Train/BL3-1-DL\slice00420 (2020_05_17 16_28_34 UTC)_mar_raw_2.png,BL3-1-DL/,0
4,../Data/Train/BL3-1-DL\slice01290 (2020_05_17 16_28_34 UTC)_mar_raw_1.png,BL3-1-DL/,0
5,../Data/Train/BL3-1-DL\slice01140 (2020_05_17 16_28_34 UTC)_mar_raw_5.png,BL3-1-DL/,0
6,../Data/Train/BL3-1-DL\slice00620 (2020_05_17 16_28_34 UTC)_mar_raw_7.png,BL3-1-DL/,0
7,../Data/Train/BL3-1-DL\slice00210 (2020_05_17 16_28_34 UTC)_mar_raw_1.png,BL3-1-DL/,0
8,../Data/Train/BL3-1-DL\slice01180 (2020_05_17 16_28_34 UTC)_mar_raw_3.png,BL3-1-DL/,0
9,../Data/Train/BL3-1-DL\slice00520 (2020_05_17 16_28_34 UTC)_mar_raw_7.png,BL3-1-DL/,0
10,../Data/Train/BL3-1-DL\slice01260 (2020_05_17 16_28_34 UTC)_mar_raw_2.png,BL3-1-DL/,0
11,../Data/Train/BL3-1-DL\slice00970 (2020_05_17 16_28_34 UTC)_mar_raw_4.png,BL3-1-DL/,0
12,../Data/Train/BL3-1-DL\slice00280 (2020_05_17 16_28_34 UTC)_mar_raw_6.png,BL3-1-DL/,0
13,../Data/Train/BL3-1-DL\slice00790 (2020_05_17 16_28_34 UTC)_mar_raw_4.png,BL3-1-DL/,0
14,../Data/Train/BL3-1-DL\slice00970 (2020_05_17 16_28_34 UTC)_mar_raw_5.png,BL3-1-DL/,0
15,../Data/Train/BL3-1-DL\slice00670 (2020_05_17 16_28_34 UTC)_mar_raw_4.png,BL3-1-DL/,0
16,../Data/Train/BL3-1-DL\slice00570 (2020_05_17 16_28_34 UTC)_mar_raw_6.png,BL3-1-DL/,0
17,../Data/Train/BL3-1-DL\slice01140 (2020_05_17 16_28_34 UTC)_mar_raw_3.png,BL3-1-DL/,0
18,../Data/Train/BL3-1-DL\slice00810 (2020_05_17 16_28_34 UTC)_mar_raw_4.png,BL3-1-DL/,0
19,../Data/Train/BL3-1-DL\slice00890 (2020_05_17 16_28_34 UTC)_mar_raw_7.png,BL3-1-DL/,0
20,../Data/Train/BL3-1-DL\slice00300 (2020_05_17 16_28_34 UTC)_mar_raw_6.png,BL3-1-DL/,0
21,../Data/Train/BL3-1-DL\slice00400 (2020_05_17 16_28_34 UTC)_mar_raw_2.png,BL3-1-DL/,0
22,../Data/Train/BL3-1-DL\slice00970 (2020_05_17 16_28_34 UTC)_mar_raw_5.png,BL3-1-DL/,0
23,../Data/Train/BL3-1-DL\slice01090 (2020_05_17 16_28_34 UTC)_mar_raw_1.png,BL3-1-DL/,0
24,../Data/Train/BL3-1-DL\slice00870 (2020_05_17 16_28_34 UTC)_mar_raw_8.png,BL3-1-DL/,0
25,../Data/Train/BL3-1-DL\slice00280 (2020_05_17 16_28_34 UTC)_mar_raw_8.png,BL3-1-DL/,0
26,../Data/Train/BL3-1-DL\slice00330 (2020_05_17 16_28_34 UTC)_mar_raw_6.png,BL3-1-DL/,0
27,../Data/Train/BL3-1-DL\slice01260 (2020_05_17 16_28_34 UTC)_mar_raw_3.png,BL3-1-DL/,0
28,../Data/Train/BL3-1-DL\slice01150 (2020_05_17 16_28_34 UTC)_mar_raw_2.png,BL3-1-DL/,0
29,../Data/Train/BL3-1-DL\slice00720 (2020_05_17 16_28_34 UTC)_mar_raw_5.png,BL3-1-DL/,0
30,../Data/Train/BL3-1-DL\slice00750 (2020_05_17 16_28_34 UTC)_mar_raw_3.png,BL3-1-DL/,0
31,../Data/Train/BL3-1-DL\slice00310 (2020_05_17 16_28_34 UTC)_mar_raw_8.png,BL3-1-DL/,0
32,../Data/Train/BL3-1-DL\slice00400 (2020_05_17 16_28_34 UTC)_mar_raw_5.png,BL3-1-DL/,0
33,../Data/Train/BL3-1-DL\slice01260 (2020_05_17 16_28_34 UTC)_mar_raw_3.png,BL3-1-DL/,0
34,../Data/Train/BL3-1-DL\slice01060 (2020_05_17 16_28_34 UTC)_mar_raw_4.png,BL3-1-DL/,0
35,../Data/Train/BL3-1-DL\slice00370 (2020_05_17 16_28_34 UTC)_mar_raw_2.png,BL3-1-DL/,0
36,../Data/Train/BL3-1-DL\slice00710 (2020_05_17 16_28_34 UTC)_mar_raw_3.png,BL3-1-DL/,0
37,../Data/Train/BL3-1-DL\slice00540 (2020_05_17 16_28_34 UTC)_mar_raw_2.png,BL3-1-DL/,0
38,../Data/Train/BL3-1-DL\slice00510 (2020_05_17 16_28_34 UTC)_mar_raw_3.png,BL3-1-DL/,0
39,../Data/Train/BL3-1-DL\slice01120 (2020_05_17 16_28_34 UTC)_mar_raw_5.png,BL3-1-DL/,0
40,../Data/Train/BL3-1-DL\slice01030 (2020_05_17 16_28_34 UTC)_mar_raw_5.png,BL3-1-DL/,0
41,../Data/Train/BL3-1-DL\slice00880 (2020_05_17 16_28_34 UTC)_mar_raw_7.png,BL3-1-DL/,0
42,../Data/Train/BL3-1-DL\slice00880 (2020_05_17 16_28_34 UTC)_mar_raw_6.png,BL3-1-DL/,0
43,../Data/Train/BL3-1-DL\slice01160 (2020_05_17 16_28_34 UTC)_mar_raw_2.png,BL3-1-DL/,0
44,../Data/Train/BL3-1-DL\slice00480 (2020_05_17 16_28_34 UTC)_mar_raw_6.png,BL3-1-DL/,0
45,../Data/Train/BL3-1-DL\slice00370 (2020_05_17 16_28_34 UTC)_mar_raw_6.png,BL3-1-DL/,0
46,../Data/Train/BL3-1-DL\slice01080 (2020_05_17 16_28_34 UTC)_mar_raw_6.png,BL3-1-DL/,0
47,../Data/Train/BL3-1-DL\slice00840 (2020_05_17 16_28_34 UTC)_mar_raw_5.png,BL3-1-DL/,0
48,../Data/Train/BL3-1-DL\slice00770 (2020_05_17 16_28_34 UTC)_mar_raw_3.png,BL3-1-DL/,0
49,../Data/Train/BL3-1-DL\slice00410 (2020_05_17 16_28_34 UTC)_mar_raw_2.png,BL3-1-DL/,0
50,../Data/Train/BL3-1-DL\slice00230 (2020_05_17 16_28_34 UTC)_mar_raw_4.png,BL3-1-DL/,0
51,../Data/Train/BL3-1-DL\slice00350 (2020_05_17 16_28_34 UTC)_mar_raw_1.png,BL3-1-DL/,0
52,../Data/Train/BL3-1-DL\slice00350 (2020_05_17 16_28_34 UTC)_mar_raw_1.png,BL3-1-DL/,0
53,../Data/Train/BL3-1-DL\slice00260 (2020_05_17 16_28_34 UTC)_mar_raw_5.png,BL3-1-DL/,0
54,../Data/Train/BL3-1-DL\slice00890 (2020_05_17 16_28_34 UTC)_mar_raw_6.png,BL3-1-DL/,0
55,../Data/Train/BL3-1-DL\slice00810 (2020_05_17 16_28_34 UTC)_mar_raw_6.png,BL3-1-DL/,0
56,../Data/Train/BL3-1-DL\slice01260 (2020_05_17 16_28_34 UTC)_mar_raw_4.png,BL3-1-DL/,0
57,../Data/Train/BL3-1-DL\slice00520 (2020_05_17 16_28_34 UTC)_mar_raw_3.png,BL3-1-DL/,0
58,../Data/Train/BL3-1-DL\slice00590 (2020_05_17 16_28_34 UTC)_mar_raw_9.png,BL3-1-DL/,0
59,../Data/Train/BL3-1-DL\slice00660 (2020_05_17 16_28_34 UTC)_mar_raw_3.png,BL3-1-DL/,0
60,../Data/Train/BL3-1-DL\slice01000 (2020_05_17 16_28_34 UTC)_mar_raw_4.png,BL3-1-DL/,0
61,../Data/Train/BL3-1-DL\slice00250 (2020_05_17 16_28_34 UTC)_mar_raw_2.png,BL3-1-DL/,0
62,../Data/Train/BL3-1-DL\slice00740 (2020_05_17 16_28_34 UTC)_mar_raw_2.png,BL3-1-DL/,0
63,../Data/Train/BL3-1-DL\slice00880 (2020_05_17 16_28_34 UTC)_mar_raw_6.png,BL3-1-DL/,0
64,../Data/Train/BL3-1-DL\slice00500 (2020_05_17 16_28_34 UTC)_mar_raw_3.png,BL3-1-DL/,0
65,../Data/Train/BL3-1-DL\slice00580 (2020_05_17 16_28_34 UTC)_mar_raw_4.png,BL3-1-DL/,0
66,../Data/Train/BL3-1-DL\slice00270 (2020_05_17 16_28_34 UTC)_mar_raw_1.png,BL3-1-DL/,0
67,../Data/Train/BL3-1-DL\slice00540 (2020_05_17 16_28_34 UTC)_mar_raw_5.png,BL3-1-DL/,0
68,../Data/Train/BL3-1-DL\slice00340 (2020_05_17 16_28_34 UTC)_mar_raw_1.png,BL3-1-DL/,0
69,../Data/Train/BL3-1-DL\slice00720 (2020_05_17 16_28_34 UTC)_mar_raw_4.png,BL3-1-DL/,0
70,../Data/Train/BL3-1-DL\slice00300 (2020_05_17 16_28_34 UTC)_mar_raw_1.png,BL3-1-DL/,0
71,../Data/Train/BL3-1-DL\slice00310 (2020_05_17 16_28_34 UTC)_mar_raw_1.png,BL3-1-DL/,0
72,../Data/Train/BL3-1-DL\slice00670 (2020_05_17 16_28_34 UTC)_mar_raw_6.png,BL3-1-DL/,0
73,../Data/Train/BL3-1-DL\slice00990 (2020_05_17 16_28_34 UTC)_mar_raw_4.png,BL3-1-DL/,0
74,../Data/Train/BL3-1-DL\slice00910 (2020_05_17 16_28_34 UTC)_mar_raw_7.png,BL3-1-DL/,0
75,../Data/Train/BL3-1-DL\slice01020 (2020_05_17 16_28_34 UTC)_mar_raw_6.png,BL3-1-DL/,0
76,../Data/Train/BL3-1-DL\slice00300 (2020_05_17 16_28_34 UTC)_mar_raw_3.png,BL3-1-DL/,0
77,../Data/Train/BL3-1-DL\slice00430 (2020_05_17 16_28_34 UTC)_mar_raw_5.png,BL3-1-DL/,0
78,../Data/Train/BL3-1-DL\slice00580 (2020_05_17 16_28_34 UTC)_mar_raw_7.png,BL3-1-DL/,0
79,../Data/Train/BL3-1-DL\slice01340 (2020_05_17 16_28_34 UTC)_mar_raw_2.png,BL3-1-DL/,0
80,../Data/Train/BL3-1-DL\slice00250 (2020_05_17 16_28_34 UTC)_mar_raw_7.png,BL3-1-DL/,0
81,../Data/Train/BL3-1-DL\slice01030 (2020_05_17 16_28_34 UTC)_mar_raw_5.png,BL3-1-DL/,0
82,../Data/Train/BL3-1-DL\slice00350 (2020_05_17 16_28_34 UTC)_mar_raw_4.png,BL3-1-DL/,0
83,../Data/Train/BL3-1-DL\slice00400 (2020_05_17 16_28_34 UTC)_mar_raw_8.png,BL3-1-DL/,0
84,../Data/Train/BL3-1-DL\slice00360 (2020_05_17 16_28_34 UTC)_mar_raw_7.png,BL3-1-DL/,0
85,../Data/Train/BL3-1-DL\slice01060 (2020_05_17 16_28_34 UTC)_mar_raw_5.png,BL3-1-DL/,0
86,../Data/Train/BL3-1-DL\slice00460 (2020_05_17 16_28_34 UTC)_mar_raw_5.png,BL3-1-DL/,0
87,../Data/Train/BL3-1-DL\slice01170 (2020_05_17 16_28_34 UTC)_mar_raw_3.png,BL3-1-DL/,0
88,../Data/Train/BL3-1-DL\slice00640 (2020_05_17 16_28_34 UTC)_mar_raw_3.png,BL3-1-DL/,0
89,../Data/Train/BL3-1-DL\slice00910 (2020_05_17 16_28_34 UTC)_mar_raw_2.png,BL3-1-DL/,0
90,../Data/Train/BL3-1-DL\slice00560 (2020_05_17 16_28_34 UTC)_mar_raw_5.png,BL3-1-DL/,0
91,../Data/Train/BL3-1-DL\slice00940 (2020_05_17 16_28_34 UTC)_mar_raw_4.png,BL3-1-DL/,0
92,../Data/Train/BL3-1-DL\slice00390 (2020_05_17 16_28_34 UTC)_mar_raw_6.png,BL3-1-DL/,0
93,../Data/Train/BL3-1-DL\slice01080 (2020_05_17 16_28_34 UTC)_mar_raw_6.png,BL3-1-DL/,0
94,../Data/Train/BL3-1-DL\slice00750 (2020_05_17 16_28_34 UTC)_mar_raw_3.png,BL3-1-DL/,0
95,../Data/Train/BL3-1-DL\slice00310 (2020_05_17 16_28_34 UTC)_mar_raw_4.png,BL3-1-DL/,0
96,../Data/Train/BL3-1-DL\slice00420 (2020_05_17 16_28_34 UTC)_mar_raw_7.png,BL3-1-DL/,0
97,../Data/Train/BL3-1-DL\slice00980 (2020_05_17 16_28_34 UTC)_mar_raw_5.png,BL3-1-DL/,0
98,../Data/Train/BL3-1-DL\slice00500 (2020_05_17 16_28_34 UTC)_mar_raw_2.png,BL3-1-DL/,0
99,../Data/Train/BL3-1-DL\slice01110 (2020_05_17 16_28_34 UTC)_mar_raw_3.png,BL3-1-DL/,0
100,../Data/Train/BL3-1-DL\slice00540 (2020_05_17 16_28_34 UTC)_mar_raw_6.png,BL3-1-DL/,0
101,../Data/Train/BL3-1-DL\slice00660 (2020_05_17 16_28_34 UTC)_mar_raw_2.png,BL3-1-DL/,0
102,../Data/Train/BL3-1-DL\slice00990 (2020_05_17 16_28_34 UTC)_mar_raw_3.png,BL3-1-DL/,0
103,../Data/Train/BL3-1-DL\slice00900 (2020_05_17 16_28_34 UTC)_mar_raw_3.png,BL3-1-DL/,0
104,../Data/Train/BL3-1-DL\slice00630 (2020_05_17 16_28_34 UTC)_mar_raw_7.png,BL3-1-DL/,0
105,../Data/Train/BL3-1-DL\slice00430 (2020_05_17 16_28_34 UTC)_mar_raw_3.png,BL3-1-DL/,0
106,../Data/Train/BL3-1-DL\slice00650 (2020_05_17 16_28_34 UTC)_mar_raw_5.png,BL3-1-DL/,0
107,../Data/Train/BL3-1-DL\slice00840 (2020_05_17 16_28_34 UTC)_mar_raw_7.png,BL3-1-DL/,0
108,../Data/Train/BL3-1-DL\slice00630 (2020_05_17 16_28_34 UTC)_mar_raw_9.png,BL3-1-DL/,0
109,../Data/Train/BL3-1-DL\slice00900 (2020_05_17 16_28_34 UTC)_mar_raw_4.png,BL3-1-DL/,0
110,../Data/Train/BL3-1-DL\slice00650 (2020_05_17 16_28_34 UTC)_mar_raw_5.png,BL3-1-DL/,0
111,../Data/Train/BL3-1-DL\slice00220 (2020_05_17 16_28_34 UTC)_mar_raw_7.png,BL3-1-DL/,0
112,../Data/Train/BL3-1-DL\slice01130 (2020_05_17 16_28_34 UTC)_mar_raw_2.png,BL3-1-DL/,0
113,../Data/Train/BL3-1-DL\slice00350 (2020_05_17 16_28_34 UTC)_mar_raw_3.png,BL3-1-DL/,0
114,../Data/Train/BL3-1-DL\slice00640 (2020_05_17 16_28_34 UTC)_mar_raw_7.png,BL3-1-DL/,0
115,../Data/Train/BL3-1-DL\slice00310 (2020_05_17 16_28_34 UTC)_mar_raw_7.png,BL3-1-DL/,0
116,../Data/Train/BL3-1-DL\slice00930 (2020_05_17 16_28_34 UTC)_mar_raw_3.png,BL3-1-DL/,0
117,../Data/Train/BL3-1-DL\slice01210 (2020_05_17 16_28_34 UTC)_mar_raw_2.png,BL3-1-DL/,0
118,../Data/Train/BL3-1-DL\slice00340 (2020_05_17 16_28_34 UTC)_mar_raw_5.png,BL3-1-DL/,0
119,../Data/Train/BL3-1-DL\slice00960 (2020_05_17 16_28_34 UTC)_mar_raw_5.png,BL3-1-DL/,0
120,../Data/Train/BL3-1-DL\slice01220 (2020_05_17 16_28_34 UTC)_mar_raw_3.png,BL3-1-DL/,0
