,Paths,Label
0,../Data/Test_New/ML-V1\slice00200_mar_raw_1.png,3
1,../Data/Test_New/ML-V1\slice00200_mar_raw_2.png,3
2,../Data/Test_New/ML-V1\slice00200_mar_raw_3.png,3
3,../Data/Test_New/ML-V1\slice00200_mar_raw_4.png,3
4,../Data/Test_New/ML-V1\slice00210_mar_raw_1.png,3
5,../Data/Test_New/ML-V1\slice00210_mar_raw_2.png,3
6,../Data/Test_New/ML-V1\slice00210_mar_raw_3.png,3
7,../Data/Test_New/ML-V1\slice00210_mar_raw_4.png,3
8,../Data/Test_New/ML-V1\slice00220_mar_raw_1.png,3
9,../Data/Test_New/ML-V1\slice00220_mar_raw_2.png,3
10,../Data/Test_New/ML-V1\slice00220_mar_raw_3.png,3
11,../Data/Test_New/ML-V1\slice00220_mar_raw_4.png,3
12,../Data/Test_New/ML-V1\slice00220_mar_raw_5.png,3
13,../Data/Test_New/ML-V1\slice00230_mar_raw_1.png,3
14,../Data/Test_New/ML-V1\slice00230_mar_raw_2.png,3
15,../Data/Test_New/ML-V1\slice00230_mar_raw_3.png,3
16,../Data/Test_New/ML-V1\slice00230_mar_raw_4.png,3
17,../Data/Test_New/ML-V1\slice00230_mar_raw_5.png,3
18,../Data/Test_New/ML-V1\slice00240_mar_raw_1.png,3
19,../Data/Test_New/ML-V1\slice00240_mar_raw_2.png,3
20,../Data/Test_New/ML-V1\slice00240_mar_raw_3.png,3
21,../Data/Test_New/ML-V1\slice00240_mar_raw_4.png,3
22,../Data/Test_New/ML-V1\slice00240_mar_raw_5.png,3
23,../Data/Test_New/ML-V1\slice00250_mar_raw_1.png,3
24,../Data/Test_New/ML-V1\slice00250_mar_raw_2.png,3
25,../Data/Test_New/ML-V1\slice00250_mar_raw_3.png,3
26,../Data/Test_New/ML-V1\slice00250_mar_raw_4.png,3
27,../Data/Test_New/ML-V1\slice00250_mar_raw_5.png,3
28,../Data/Test_New/ML-V1\slice00260_mar_raw_1.png,3
29,../Data/Test_New/ML-V1\slice00260_mar_raw_2.png,3
30,../Data/Test_New/ML-V1\slice00260_mar_raw_3.png,3
31,../Data/Test_New/ML-V1\slice00260_mar_raw_4.png,3
32,../Data/Test_New/ML-V1\slice00260_mar_raw_5.png,3
33,../Data/Test_New/ML-V1\slice00270_mar_raw_1.png,3
34,../Data/Test_New/ML-V1\slice00270_mar_raw_2.png,3
35,../Data/Test_New/ML-V1\slice00270_mar_raw_3.png,3
36,../Data/Test_New/ML-V1\slice00270_mar_raw_4.png,3
