,path,image_name,rock_type,scan_name,label_assigned,area,centroid,bbox,bbox_rect
0,./train/cuttings_padded_128/ML-DB-Geo1_slice00371_0.png,ML-DB-Geo1_slice00371_0,0,slice00371,0,12346,"(64.81572979102543, 117.54665478697554)","[52, 497, 202, 738]","[[716, 225], [490, 75], [532, 11], [758, 160]]"
1,./train/cuttings_padded_128/ML-DB-Geo1_slice00371_1.png,ML-DB-Geo1_slice00371_1,0,slice00371,1,4743,"(60.45182374024879, 40.84503478810879)","[135, 499, 264, 580]","[[552, 270], [493, 148], [531, 130], [590, 252]]"
2,./train/cuttings_padded_128/ML-DB-Geo1_slice00371_2.png,ML-DB-Geo1_slice00371_2,0,slice00371,2,8372,"(109.22957477305303, 53.66782130912566)","[182, 444, 382, 564]","[[522, 391], [417, 203], [461, 178], [566, 367]]"
3,./train/cuttings_padded_128/ML-DB-Geo1_slice00371_5.png,ML-DB-Geo1_slice00371_5,0,slice00371,5,8535,"(75.36801405975396, 54.229759812536614)","[204, 373, 353, 486]","[[443, 373], [352, 235], [410, 196], [501, 334]]"
4,./train/cuttings_padded_128/ML-DB-Geo1_slice00371_6.png,ML-DB-Geo1_slice00371_6,0,slice00371,6,34857,"(189.85185185185185, 107.70218320566887)","[219, 178, 580, 417]","[[330, 597], [130, 275], [233, 210], [433, 533]]"
5,./train/cuttings_padded_128/ML-DB-Geo1_slice00371_7.png,ML-DB-Geo1_slice00371_7,0,slice00371,7,30106,"(107.68488009034743, 131.58875307247726)","[230, 557, 452, 847]","[[603, 477], [525, 381], [783, 170], [861, 265]]"
6,./train/cuttings_padded_128/ML-DB-Geo1_slice00371_11.png,ML-DB-Geo1_slice00371_11,0,slice00371,11,42058,"(178.36642255932284, 108.15371629654287)","[427, 40, 743, 306]","[[157, 793], [-29, 513], [125, 410], [311, 690]]"
7,./train/cuttings_padded_128/ML-DB-Geo1_slice00371_12.png,ML-DB-Geo1_slice00371_12,0,slice00371,12,12941,"(90.66092264894522, 49.77992427169461)","[456, 845, 657, 952]","[[909, 660], [831, 644], [874, 441], [952, 458]]"
8,./train/cuttings_padded_128/ML-DB-Geo1_slice00371_13.png,ML-DB-Geo1_slice00371_13,0,slice00371,13,50722,"(128.0717045857813, 119.53529040652971)","[470, 539, 727, 809]","[[804, 729], [535, 723], [540, 467], [809, 473]]"
9,./train/cuttings_padded_128/ML-DB-Geo1_slice00371_16.png,ML-DB-Geo1_slice00371_16,0,slice00371,16,11530,"(49.90988725065048, 97.48742411101475)","[814, 454, 911, 664]","[[656, 925], [441, 874], [459, 802], [673, 854]]"
10,./train/cuttings_padded_128/ML-DB-Geo1_slice00375_0.png,ML-DB-Geo1_slice00375_0,0,slice00375,0,13627,"(67.48968958684964, 125.8802377632641)","[51, 495, 204, 749]","[[725, 228], [488, 74], [530, 9], [767, 163]]"
11,./train/cuttings_padded_128/ML-DB-Geo1_slice00375_1.png,ML-DB-Geo1_slice00375_1,0,slice00375,1,6013,"(75.83286213204723, 49.7219358057542)","[136, 499, 305, 606]","[[575, 314], [493, 149], [530, 130], [613, 295]]"
12,./train/cuttings_padded_128/ML-DB-Geo1_slice00375_2.png,ML-DB-Geo1_slice00375_2,0,slice00375,2,9429,"(115.09025347332697, 56.55764131933397)","[176, 443, 386, 572]","[[528, 401], [415, 197], [461, 172], [573, 376]]"
13,./train/cuttings_padded_128/ML-DB-Geo1_slice00375_3.png,ML-DB-Geo1_slice00375_3,0,slice00375,3,9688,"(90.98462014863749, 55.70086705202312)","[183, 369, 357, 488]","[[448, 376], [337, 216], [395, 176], [505, 337]]"
14,./train/cuttings_padded_128/ML-DB-Geo1_slice00375_4.png,ML-DB-Geo1_slice00375_4,0,slice00375,4,36917,"(192.4288810033318, 103.89917923991656)","[215, 184, 580, 422]","[[334, 596], [130, 272], [235, 206], [440, 530]]"
15,./train/cuttings_padded_128/ML-DB-Geo1_slice00375_5.png,ML-DB-Geo1_slice00375_5,0,slice00375,5,30331,"(115.84563647753124, 130.01556163660942)","[221, 571, 454, 853]","[[607, 479], [531, 384], [793, 175], [869, 271]]"
16,./train/cuttings_padded_128/ML-DB-Geo1_slice00375_6.png,ML-DB-Geo1_slice00375_6,0,slice00375,6,43808,"(179.51584185536888, 112.4470872899927)","[425, 41, 742, 318]","[[178, 804], [-38, 535], [110, 414], [328, 683]]"
17,./train/cuttings_padded_128/ML-DB-Geo1_slice00375_7.png,ML-DB-Geo1_slice00375_7,0,slice00375,7,12726,"(89.86311488291686, 50.37262297658337)","[457, 844, 655, 950]","[[912, 658], [834, 643], [873, 444], [951, 459]]"
18,./train/cuttings_padded_128/ML-DB-Geo1_slice00375_8.png,ML-DB-Geo1_slice00375_8,0,slice00375,8,53487,"(129.6546076616748, 124.92484155028325)","[468, 541, 727, 813]","[[541, 726], [541, 468], [812, 468], [812, 726]]"
19,./train/cuttings_padded_128/ML-DB-Geo1_slice00375_9.png,ML-DB-Geo1_slice00375_9,0,slice00375,9,11945,"(49.2633737965676, 99.76416910841357)","[813, 454, 909, 669]","[[661, 924], [442, 873], [458, 800], [678, 850]]"
20,./train/cuttings_padded_128/ML-DB-Geo1_slice00379_0.png,ML-DB-Geo1_slice00379_0,0,slice00379,0,14785,"(70.65566452485628, 131.6242813662496)","[49, 494, 207, 758]","[[736, 230], [487, 73], [527, 8], [777, 165]]"
21,./train/cuttings_padded_128/ML-DB-Geo1_slice00379_1.png,ML-DB-Geo1_slice00379_1,0,slice00379,1,6295,"(77.89594916600477, 52.024146147736296)","[135, 498, 307, 607]","[[576, 316], [493, 150], [531, 130], [615, 297]]"
22,./train/cuttings_padded_128/ML-DB-Geo1_slice00379_2.png,ML-DB-Geo1_slice00379_2,0,slice00379,2,10382,"(121.11914852629552, 59.88528221922558)","[169, 441, 390, 578]","[[531, 407], [413, 191], [461, 165], [579, 381]]"
23,./train/cuttings_padded_128/ML-DB-Geo1_slice00379_3.png,ML-DB-Geo1_slice00379_3,0,slice00379,3,10285,"(94.93135634419058, 57.79397180359747)","[178, 367, 359, 491]","[[453, 379], [333, 213], [390, 171], [510, 338]]"
24,./train/cuttings_padded_128/ML-DB-Geo1_slice00379_4.png,ML-DB-Geo1_slice00379_4,0,slice00379,4,38178,"(195.5899994761381, 102.72227460841322)","[211, 188, 579, 425]","[[334, 597], [128, 271], [238, 202], [443, 527]]"
25,./train/cuttings_padded_128/ML-DB-Geo1_slice00379_5.png,ML-DB-Geo1_slice00379_5,0,slice00379,5,30251,"(117.74552907341906, 127.50166936630194)","[220, 584, 455, 860]","[[614, 480], [538, 382], [800, 181], [876, 279]]"
26,./train/cuttings_padded_128/ML-DB-Geo1_slice00379_6.png,ML-DB-Geo1_slice00379_6,0,slice00379,6,45501,"(179.69846816553482, 117.46434144304521)","[424, 43, 740, 329]","[[158, 789], [-13, 491], [165, 388], [336, 686]]"
27,./train/cuttings_padded_128/ML-DB-Geo1_slice00379_7.png,ML-DB-Geo1_slice00379_7,0,slice00379,7,12556,"(87.99115960496974, 49.678321121376236)","[459, 844, 652, 948]","[[911, 656], [835, 641], [873, 446], [950, 461]]"
28,./train/cuttings_padded_128/ML-DB-Geo1_slice00379_8.png,ML-DB-Geo1_slice00379_8,0,slice00379,8,54664,"(132.94736938387237, 130.1661056636909)","[467, 543, 726, 818]","[[552, 731], [539, 474], [811, 459], [825, 716]]"
29,./train/cuttings_padded_128/ML-DB-Geo1_slice00379_9.png,ML-DB-Geo1_slice00379_9,0,slice00379,9,12265,"(48.54015491235222, 101.28724011414594)","[812, 454, 908, 671]","[[664, 921], [442, 871], [458, 798], [680, 848]]"
30,./train/cuttings_padded_128/ML-DB-Geo1_slice00383_0.png,ML-DB-Geo1_slice00383_0,0,slice00383,0,16097,"(73.14275952040752, 140.0127352922905)","[48, 491, 210, 770]","[[749, 233], [483, 72], [522, 7], [788, 168]]"
31,./train/cuttings_padded_128/ML-DB-Geo1_slice00383_1.png,ML-DB-Geo1_slice00383_1,0,slice00383,1,6689,"(80.19614292121393, 54.44042457766482)","[134, 497, 311, 610]","[[578, 320], [493, 149], [532, 129], [618, 300]]"
