,preds_vec,true_vec
0,0,0
1,4,4
2,1,1
3,1,1
4,2,2
5,4,0
6,4,4
7,3,3
8,1,1
9,2,0
10,1,1
11,0,0
12,1,1
13,0,0
14,0,0
15,1,1
16,1,1
17,2,2
18,2,2
19,4,4
20,3,3
21,4,0
22,1,1
23,2,2
24,0,0
25,0,0
26,1,1
27,0,0
28,3,3
29,0,0
30,1,4
31,4,0
32,4,4
33,2,2
34,3,3
35,1,1
36,2,0
37,2,2
38,4,4
39,4,4
40,0,0
41,0,0
42,0,0
43,3,3
44,4,2
45,2,2
46,1,1
47,2,2
48,1,0
49,0,0
50,4,4
51,1,4
52,1,1
53,4,2
54,3,0
55,0,1
56,2,0
57,3,1
58,2,2
59,2,2
60,0,2
61,3,3
62,1,1
63,1,1
64,3,3
65,2,2
66,3,3
67,2,2
68,3,3
69,1,1
70,4,4
71,1,1
72,1,1
73,3,3
74,4,4
75,4,0
76,3,3
77,4,4
78,1,1
79,4,0
80,4,0
81,4,4
82,3,3
83,1,0
84,1,1
85,2,0
86,4,4
87,3,3
88,2,0
89,2,2
90,4,4
91,1,1
92,2,0
93,3,3
94,4,4
95,0,0
96,0,1
97,2,0
98,4,4
99,1,0
100,1,1
101,2,2
102,2,2
103,2,4
104,3,3
105,4,4
106,0,2
107,4,4
108,1,1
109,1,1
110,0,0
111,3,3
112,1,3
113,0,1
114,0,0
115,3,3
116,2,2
117,4,4
118,4,4
119,2,2
120,2,2
121,1,4
122,1,3
123,4,4
124,4,4
125,1,1
126,0,0
127,3,3
128,4,4
129,0,0
130,1,3
131,3,3
132,2,2
133,0,0
134,1,1
135,4,4
136,3,3
137,0,0
138,3,3
139,0,1
140,4,4
141,4,0
142,3,3
143,3,3
144,0,4
145,4,1
146,0,0
147,4,4
148,2,2
149,2,2
150,0,0
151,4,0
152,3,3
153,0,2
154,4,4
155,2,2
156,0,0
157,2,2
158,1,1
159,1,4
160,1,3
161,2,1
162,3,3
163,4,2
164,2,2
165,2,2
166,1,1
167,0,0
168,4,4
169,0,0
170,3,3
171,3,3
172,4,1
173,3,3
174,1,1
175,3,3
176,4,4
177,2,2
178,1,0
179,1,1
180,3,3
181,2,2
182,3,3
183,0,1
184,0,0
185,3,3
186,2,2
187,4,4
188,2,2
189,4,0
190,0,0
191,1,1
192,2,2
193,4,4
194,2,0
195,1,4
196,4,4
197,4,4
198,4,0
199,4,4
200,3,3
201,1,1
202,3,1
203,4,4
204,4,2
205,1,1
206,4,0
207,0,0
208,0,0
209,4,4
210,3,3
211,3,3
212,1,1
213,4,1
214,3,3
215,4,2
216,1,1
217,4,4
218,1,2
219,2,2
220,4,4
221,4,4
222,2,2
223,4,0
224,0,0
225,1,3
226,4,4
227,1,1
228,4,2
229,3,3
230,4,2
231,3,1
232,4,4
233,0,0
234,2,2
235,4,4
236,3,3
237,2,2
238,3,3
239,2,2
240,2,2
241,1,4
242,2,0
243,0,0
244,2,2
245,1,4
246,0,0
247,4,0
248,2,0
249,3,3
250,3,3
251,4,2
252,1,1
253,4,4
254,4,4
255,0,0
256,4,4
257,3,3
258,4,0
259,0,2
260,3,1
261,1,1
262,0,0
263,0,0
264,0,0
265,1,1
266,2,2
267,0,2
268,0,0
269,1,1
270,3,3
271,0,0
272,1,1
273,2,2
274,4,4
275,3,3
276,2,2
277,1,3
278,4,4
279,4,4
280,0,0
281,2,2
282,4,4
283,4,4
284,3,3
285,0,1
286,2,2
287,3,3
288,4,2
289,4,0
290,3,3
291,4,0
292,3,3
293,4,2
294,1,2
295,0,0
296,3,1
297,4,4
298,3,3
299,3,3
300,2,2
301,1,1
302,2,2
303,3,3
304,0,0
305,2,0
306,0,0
307,2,2
308,4,4
309,2,2
310,0,0
311,4,4
312,1,1
313,2,0
314,4,4
315,0,0
316,4,4
317,4,0
318,0,0
319,3,3
320,3,3
321,1,1
322,3,3
323,3,3
324,2,2
325,4,4
326,3,3
327,2,1
328,0,4
329,1,1
330,0,0
331,1,0
332,3,3
333,0,0
334,0,1
335,3,3
336,3,3
337,3,3
338,2,4
339,3,3
340,4,4
341,2,2
342,4,2
343,1,3
344,2,2
345,0,0
346,1,1
347,1,0
348,2,1
349,3,3
350,4,1
351,1,1
352,2,1
353,1,1
354,2,2
355,3,3
356,3,3
357,0,1
358,4,2
359,3,3
360,4,4
361,4,4
362,4,4
363,3,0
364,3,4
365,4,4
366,2,2
367,2,0
368,1,1
369,4,2
370,1,1
371,2,2
372,0,0
373,1,1
374,1,1
375,4,4
376,4,0
377,1,1
378,0,0
379,4,4
380,1,1
381,1,1
382,3,3
383,3,3
384,4,4
385,4,4
386,2,2
387,2,2
388,2,2
389,2,2
390,3,3
391,1,1
392,4,0
393,3,3
394,1,1
395,1,1
396,2,2
397,3,3
398,0,4
399,2,4
400,2,2
401,2,2
402,2,2
403,1,4
404,3,3
405,4,1
406,3,3
407,2,2
408,4,4
409,3,3
410,1,1
411,3,3
412,3,3
413,1,0
414,3,3
415,4,4
416,3,3
417,4,4
418,4,4
419,4,4
420,1,3
421,0,0
422,4,4
423,4,4
424,3,1
425,4,0
426,2,4
427,4,4
428,3,3
429,4,4
430,3,3
431,3,3
432,0,2
433,1,1
434,1,1
435,1,3
436,3,3
437,0,0
438,1,1
439,3,3
440,4,4
441,0,0
442,4,0
443,0,0
444,1,4
445,4,2
446,1,1
447,1,0
448,4,4
449,4,1
450,4,4
451,4,0
452,0,0
453,3,3
454,4,4
455,0,2
456,1,1
457,2,4
458,4,0
459,4,0
460,2,2
461,4,4
462,1,1
463,4,1
464,0,1
465,3,3
466,4,4
467,3,3
468,4,0
469,3,3
470,4,0
471,3,3
472,4,4
473,0,3
474,4,0
475,1,1
476,4,2
477,4,4
478,1,1
479,1,0
480,4,0
481,1,1
482,2,2
483,0,1
484,2,2
485,4,2
486,1,0
487,4,4
488,3,3
489,2,0
490,2,2
491,4,4
492,1,3
493,0,0
494,1,3
495,4,4
496,1,1
497,2,2
498,4,4
499,1,1
500,1,1
501,3,3
502,3,1
503,4,4
504,2,2
505,1,3
506,3,3
507,4,4
508,4,2
509,2,2
510,1,1
511,1,1
512,1,1
513,1,2
514,3,3
515,0,0
516,0,2
517,4,4
518,1,1
519,2,2
520,1,1
521,2,2
522,2,2
523,2,4
524,4,4
525,1,3
526,4,4
