,preds_vec,true_vec
0,4,4
1,1,0
2,4,4
3,4,4
4,1,4
5,2,2
6,4,4
7,1,4
8,2,2
9,1,1
10,4,1
11,1,3
12,1,1
13,2,2
14,3,3
15,2,2
16,4,4
17,2,2
18,2,4
19,2,2
20,1,3
21,3,3
22,1,1
23,0,0
24,3,3
25,0,2
26,2,2
27,0,0
28,1,1
29,3,3
30,2,2
31,1,4
32,3,3
33,0,4
34,3,3
35,2,2
36,1,1
37,4,0
38,0,0
39,1,1
40,0,2
41,1,1
42,2,2
43,1,4
44,0,2
45,3,3
46,0,0
47,0,0
48,1,1
49,2,0
50,3,3
51,1,1
52,1,0
53,1,3
54,3,3
55,3,3
56,2,1
57,2,2
58,1,1
59,0,4
60,2,0
61,0,0
62,1,1
63,0,0
64,0,0
65,1,0
66,2,2
67,0,0
68,2,2
69,0,0
70,0,0
71,2,0
72,3,3
73,4,4
74,2,0
75,2,2
76,2,2
77,0,0
78,3,3
79,1,1
80,4,4
81,2,2
82,1,1
83,3,3
84,2,2
85,4,4
86,1,1
87,0,2
88,2,2
89,0,0
90,1,1
91,3,3
92,0,0
93,2,4
94,0,4
95,3,3
96,2,2
97,1,1
98,1,1
99,1,4
100,3,3
101,4,4
102,0,0
103,1,4
104,1,1
105,0,2
106,4,0
107,0,0
108,4,2
109,4,4
110,3,3
111,4,0
112,2,2
113,0,0
114,2,2
115,0,2
116,1,1
117,1,1
118,3,3
119,4,4
120,1,1
121,0,0
122,4,4
123,2,2
124,3,3
125,1,1
126,0,0
127,2,2
128,2,2
129,4,4
130,4,4
131,4,2
132,2,2
133,2,2
134,0,0
135,1,4
136,1,1
137,3,3
138,1,4
139,3,3
140,1,1
141,1,1
142,1,4
143,1,1
144,3,3
145,4,4
146,2,4
147,4,0
148,0,0
149,4,4
150,2,2
151,1,1
152,3,3
153,3,3
154,4,2
155,4,4
156,1,1
157,4,4
158,2,2
159,3,3
160,1,1
161,0,0
162,1,1
163,1,1
164,1,1
165,1,1
166,0,0
167,4,4
168,1,1
169,1,4
170,0,4
171,2,2
172,4,4
173,3,3
174,0,0
175,2,2
176,3,3
177,3,3
178,0,0
179,1,1
180,4,4
181,3,3
182,0,1
183,3,3
184,1,1
185,0,0
186,1,1
187,0,0
188,1,0
189,4,4
190,2,2
191,4,4
192,0,4
193,4,4
194,2,2
195,0,0
196,2,2
197,4,4
198,1,1
199,0,1
200,4,4
201,3,3
202,4,4
203,4,4
204,4,1
205,2,2
206,0,2
207,3,3
208,2,0
209,2,4
210,4,4
211,1,1
212,0,0
213,4,4
214,2,0
215,3,0
216,2,2
217,2,2
218,0,0
219,3,3
220,4,4
221,3,3
222,4,4
223,1,1
224,0,1
225,0,4
226,2,2
227,4,4
228,2,0
229,3,3
230,0,4
231,2,2
232,0,0
233,4,4
234,3,3
235,1,0
236,1,1
237,1,1
238,3,3
239,2,2
240,2,2
241,1,2
242,2,2
243,1,4
244,2,2
245,1,1
246,1,1
247,2,2
248,3,3
249,2,2
250,0,3
251,2,2
252,1,1
253,1,1
254,4,4
255,0,0
256,3,3
257,2,2
258,1,1
259,4,4
260,4,4
261,4,4
262,3,3
263,1,1
264,4,0
265,1,1
266,3,3
267,4,4
268,1,1
269,2,2
270,4,4
271,4,4
272,0,0
273,3,3
274,1,1
275,0,0
276,4,0
277,2,2
278,1,1
279,3,3
280,2,2
281,1,4
282,2,0
283,2,0
284,2,2
285,1,1
286,0,1
287,3,3
288,2,2
289,0,0
290,1,1
291,1,4
292,2,0
293,3,3
294,0,2
295,0,0
296,2,2
297,1,1
298,3,3
299,0,1
300,2,0
301,3,3
302,3,1
303,3,3
304,1,1
305,2,2
306,1,1
307,3,3
308,1,1
309,2,0
310,4,0
311,1,1
312,1,1
313,0,0
314,1,1
315,2,2
316,2,2
317,3,3
318,2,2
319,2,2
320,1,1
321,2,2
322,1,1
323,2,2
324,4,0
325,0,0
326,3,3
327,0,0
328,0,1
329,2,0
330,0,0
331,3,3
332,1,1
333,3,3
334,0,2
335,4,0
336,3,3
337,1,1
338,2,2
339,1,1
340,1,1
341,1,3
