,preds_vec,true_vec
0,1,1
1,4,4
2,4,4
3,3,3
4,4,4
5,0,0
6,1,1
7,3,3
8,4,4
9,1,1
10,3,3
11,4,4
12,3,3
13,3,3
14,3,3
15,0,0
16,3,3
17,1,1
18,1,1
19,0,0
20,0,0
21,1,1
22,0,0
23,3,3
24,0,0
25,1,1
26,2,2
27,3,3
28,3,3
29,2,2
30,4,4
31,4,0
32,2,2
33,2,2
34,0,4
35,0,0
36,4,4
37,4,4
38,0,0
39,0,0
40,2,2
41,1,1
42,1,1
43,1,1
44,3,3
45,1,1
46,1,1
47,4,4
48,2,2
49,2,2
50,2,2
51,4,4
52,2,2
53,2,4
54,3,3
55,2,2
56,2,2
57,1,1
58,4,4
59,2,2
60,2,2
61,4,4
62,4,4
63,1,1
64,1,1
65,2,2
66,2,2
67,4,4
68,2,2
69,0,0
70,4,4
71,3,3
72,1,1
73,4,4
74,2,2
75,0,0
76,4,4
77,3,3
78,1,1
79,2,2
80,2,2
81,2,2
82,1,1
83,1,1
84,0,0
85,2,2
86,1,1
87,1,1
88,2,2
89,3,3
90,2,2
91,4,4
92,3,3
93,3,3
94,0,0
95,4,4
96,3,3
97,2,4
98,2,2
99,3,3
100,3,3
101,0,0
102,4,4
103,3,3
104,0,0
105,2,2
106,1,1
107,3,3
108,3,3
109,3,3
110,4,4
111,4,1
112,2,0
113,1,1
114,1,1
115,3,3
116,1,1
117,4,4
118,0,0
119,4,4
120,2,2
121,1,1
122,2,2
123,3,3
124,4,4
125,4,4
126,3,3
127,2,2
128,0,0
129,1,0
130,0,0
131,1,1
132,2,2
133,1,1
134,3,3
135,3,3
136,2,2
137,1,1
138,4,4
139,0,0
140,1,1
141,4,4
142,2,2
143,3,3
144,3,3
145,1,1
146,1,0
147,0,0
148,2,2
149,3,3
150,3,3
151,1,1
152,1,1
153,1,1
154,0,0
155,2,2
156,1,1
157,4,4
158,4,4
159,2,2
160,2,2
161,1,1
162,1,1
163,3,3
164,3,3
165,3,3
166,1,1
167,3,3
168,4,0
169,3,3
170,1,1
171,1,1
172,0,0
173,3,3
174,4,0
175,1,1
176,1,1
177,2,4
178,2,2
179,3,3
180,1,3
181,2,2
182,2,2
183,3,3
184,1,1
185,1,1
186,1,1
187,1,1
188,4,4
189,1,1
190,3,3
191,1,1
192,4,4
193,1,1
194,2,2
195,0,0
196,4,4
197,1,1
198,4,4
199,4,4
200,0,0
201,4,4
202,4,0
203,2,4
204,2,2
205,2,2
206,3,3
207,0,0
208,1,1
209,1,4
210,1,1
211,3,3
212,4,1
213,0,0
214,1,1
215,1,1
216,4,4
217,0,0
218,2,2
219,1,4
220,1,1
221,3,3
222,0,0
223,4,4
224,4,4
225,2,2
226,1,1
227,4,4
228,2,2
229,4,4
230,0,0
231,0,0
232,4,4
233,1,1
234,4,4
235,3,3
236,2,2
237,1,1
238,4,4
239,3,3
240,3,3
241,1,1
242,2,2
243,3,3
244,0,0
245,3,3
246,4,4
247,2,2
248,3,3
249,1,1
250,1,0
251,1,1
252,0,0
253,2,2
254,1,1
255,1,1
256,0,0
257,0,0
258,0,0
259,1,1
260,4,4
261,3,3
262,0,0
263,2,2
264,3,3
265,2,2
266,2,2
267,0,0
268,0,0
269,1,1
270,2,2
271,0,0
272,3,3
273,1,1
274,4,4
275,3,3
276,1,1
277,1,1
278,0,0
279,2,2
280,4,4
281,2,2
282,4,4
283,3,3
284,2,2
285,0,0
