,preds_vec,true_vec
0,1,1
1,3,3
2,2,2
3,1,1
4,3,3
5,0,4
6,1,1
7,4,4
8,4,4
9,2,2
10,3,3
11,2,2
12,0,0
13,0,2
14,1,1
15,2,2
16,4,4
17,1,1
18,0,0
19,0,0
20,1,1
21,1,1
22,3,3
23,3,3
24,4,4
25,1,1
26,2,2
27,1,1
28,2,2
29,0,0
30,0,0
31,0,0
32,2,2
33,2,2
34,1,0
35,3,3
36,2,2
37,0,1
38,1,1
39,3,3
40,2,2
41,0,0
42,2,2
43,2,2
44,3,3
45,1,1
46,1,1
47,1,4
48,4,4
49,3,3
50,2,2
51,0,0
52,4,4
53,3,3
54,1,1
55,2,2
56,1,1
57,4,4
58,3,3
59,0,0
60,3,3
61,4,4
62,2,2
63,3,3
64,4,4
65,4,0
66,3,3
67,1,3
68,3,3
69,4,4
70,4,4
71,0,0
72,4,4
73,0,0
74,0,4
75,4,4
76,2,2
77,0,0
78,2,2
79,0,2
80,2,2
81,1,4
82,4,4
83,3,3
84,1,1
85,1,3
86,3,3
87,3,3
88,4,2
89,4,0
90,4,4
91,3,3
92,0,1
93,1,1
94,3,3
95,4,1
96,0,2
97,1,0
98,2,0
99,1,3
100,3,3
101,4,4
102,1,1
103,2,2
104,3,3
105,0,0
106,0,0
107,1,4
108,0,1
109,4,4
110,4,4
111,2,2
112,0,0
113,4,4
114,0,0
115,4,4
116,4,4
117,0,1
118,0,4
119,0,0
120,2,2
121,3,3
122,4,2
123,3,3
124,4,4
125,2,2
126,0,1
127,2,2
128,0,0
129,0,0
130,2,2
131,1,1
132,0,0
133,0,0
134,4,4
135,4,4
136,3,3
137,3,3
138,2,2
139,4,4
140,0,2
141,0,0
142,0,0
143,3,3
144,2,0
145,4,4
146,1,3
147,1,1
148,0,4
149,1,1
150,0,1
151,2,2
152,2,2
153,1,1
154,3,3
155,1,4
156,4,4
157,3,3
158,3,3
159,1,3
160,3,3
161,2,2
162,4,4
163,4,4
164,2,0
165,2,0
166,1,4
167,4,4
168,1,4
169,4,4
170,3,3
171,0,0
172,0,0
173,2,2
174,3,3
175,1,1
176,4,4
177,3,3
178,2,2
179,3,3
180,4,4
181,4,4
182,3,3
183,2,1
184,3,3
185,4,2
186,0,0
187,4,4
188,2,2
189,2,2
190,4,4
191,3,3
192,1,1
193,4,4
194,4,4
195,4,1
196,0,0
197,4,4
198,4,4
199,4,1
200,0,0
201,0,0
202,0,0
203,1,1
204,0,0
205,4,4
206,1,1
207,4,4
208,2,0
209,2,2
210,3,3
211,1,0
212,3,3
213,0,0
214,0,4
215,3,3
216,4,4
217,3,1
218,3,3
219,2,2
220,3,3
221,1,4
222,3,3
223,4,4
224,1,3
225,2,2
226,2,0
227,0,0
228,0,2
229,2,2
230,1,1
231,2,2
232,0,0
233,4,4
234,2,0
235,4,4
236,2,2
237,4,4
238,4,0
239,2,2
240,1,1
241,2,2
242,1,1
243,0,0
244,4,4
245,1,1
246,4,2
247,1,4
248,2,0
249,4,4
250,3,3
251,1,1
252,1,1
253,1,3
254,1,1
255,0,0
256,1,1
257,0,0
258,4,2
259,1,1
260,2,2
261,1,1
262,4,4
263,2,2
264,2,2
265,0,0
266,0,0
267,0,0
268,2,2
269,3,3
270,0,1
271,1,4
272,1,1
273,4,4
274,0,0
275,2,2
276,1,1
277,4,4
278,0,4
279,3,3
280,4,4
281,0,0
282,4,2
283,2,2
284,2,2
285,3,3
286,2,2
287,2,2
288,2,2
289,1,4
290,2,2
291,0,2
292,0,2
293,3,3
294,0,0
295,1,4
296,1,1
297,0,0
298,1,1
299,0,0
300,1,1
301,2,2
302,2,0
303,3,3
304,2,2
305,3,3
306,1,0
307,0,0
308,0,0
309,0,0
310,1,1
311,4,4
312,4,4
313,0,0
314,1,1
315,4,0
316,4,0
317,1,1
318,1,1
319,0,0
320,0,1
321,2,2
322,2,2
323,2,2
324,0,1
325,1,1
326,2,2
327,1,1
328,0,0
329,2,2
330,1,1
331,0,2
332,0,0
333,4,4
334,2,2
335,4,4
336,1,0
337,3,3
338,4,0
339,0,0
340,0,0
341,4,4
342,1,1
343,0,0
344,2,2
345,0,0
346,1,1
347,4,4
348,1,3
349,3,3
350,1,1
351,2,0
352,3,3
353,3,3
354,4,0
355,0,1
356,4,2
357,2,2
358,3,3
359,4,4
360,2,2
361,1,1
362,2,2
363,1,1
364,3,3
365,4,4
366,4,1
367,4,4
368,4,4
369,0,0
370,1,3
371,2,2
372,0,1
373,4,2
374,3,3
375,3,3
376,4,4
377,3,3
378,4,4
379,3,3
380,0,2
381,0,2
382,0,0
383,4,4
384,4,4
385,1,4
386,0,4
387,1,1
388,3,3
389,1,1
390,4,4
391,1,1
392,2,2
393,3,3
394,1,1
395,0,0
396,4,4
397,3,3
398,0,0
399,4,4
400,3,3
401,0,0
402,2,2
403,1,1
404,1,1
405,1,1
406,4,4
407,1,3
408,1,3
409,0,0
410,0,0
411,0,0
412,3,0
413,0,2
414,0,4
415,4,4
416,1,4
417,1,1
418,0,2
419,4,2
420,3,3
421,4,2
422,1,1
423,4,4
424,4,4
425,4,2
426,0,0
427,4,2
428,1,1
429,4,4
430,0,0
431,1,1
432,3,3
433,4,4
434,1,1
435,4,0
436,0,0
437,0,1
438,2,2
439,4,4
440,2,2
441,4,4
442,1,1
443,4,4
444,0,0
445,1,1
446,2,2
447,4,2
448,1,1
449,1,1
450,4,2
451,4,0
452,1,1
453,2,2
454,2,2
455,1,1
456,2,0
457,1,3
458,0,0
459,0,1
460,0,0
461,4,4
462,1,1
463,0,4
464,0,2
465,3,3
466,4,4
467,4,2
468,2,2
469,3,3
470,3,3
471,2,2
472,1,1
473,2,2
474,0,0
475,0,0
476,2,2
477,2,2
478,4,4
479,4,4
480,2,2
481,1,1
482,2,2
483,3,3
484,0,0
485,2,0
486,3,3
487,0,0
488,3,3
489,4,0
490,2,2
491,4,1
492,2,2
493,1,1
494,3,3
495,2,2
496,1,1
497,3,3
498,4,0
499,3,3
500,0,1
501,1,1
502,4,2
503,4,4
504,3,3
505,1,1
506,4,4
507,3,3
508,0,0
509,2,0
510,2,2
511,3,3
512,2,2
513,2,2
514,2,2
515,3,3
516,3,1
517,2,2
518,0,0
519,2,2
520,1,2
521,3,3
522,4,4
523,4,4
524,2,2
525,1,4
526,1,1
527,4,0
528,0,2
529,3,3
530,1,1
531,1,1
532,4,4
533,1,1
534,2,2
535,4,4
536,4,4
537,1,3
538,0,1
539,1,1
540,0,0
541,0,2
542,1,1
543,1,4
544,4,4
545,0,0
546,3,3
547,1,3
548,4,4
549,1,1
550,0,2
551,0,4
552,0,1
553,2,2
554,2,2
555,4,4
556,0,4
557,1,3
558,1,3
559,1,4
560,4,2
561,1,1
562,1,1
563,2,2
564,3,3
565,2,4
566,0,0
567,0,0
568,2,2
569,0,1
570,0,2
571,1,1
572,1,4
573,3,3
574,3,3
575,2,0
576,4,4
577,3,3
578,0,0
579,1,1
580,1,1
581,3,3
582,0,2
583,0,0
584,2,2
585,2,2
586,2,2
587,3,3
588,4,4
589,2,2
590,1,3
591,1,1
592,0,0
593,1,1
594,4,4
595,1,1
596,2,2
597,1,3
598,0,0
599,3,3
600,3,3
601,3,3
602,3,3
603,3,3
604,4,4
605,3,3
606,0,0
607,4,4
608,2,2
609,0,0
610,1,3
611,0,1
612,4,0
613,3,3
614,3,3
615,3,3
616,2,0
617,4,4
618,0,0
619,1,0
620,0,0
621,3,1
622,3,3
623,1,4
624,4,2
625,4,4
626,0,4
627,4,0
628,0,1
629,4,4
630,3,3
631,1,1
632,3,3
633,1,1
634,4,4
635,3,3
636,2,2
637,4,4
638,0,0
639,1,0
640,2,2
641,1,1
642,0,4
643,1,1
644,4,0
645,3,3
646,1,1
647,0,2
648,4,4
649,4,0
650,4,4
651,4,4
652,4,4
653,3,1
654,4,4
655,4,4
656,4,4
657,1,1
658,4,4
659,2,2
660,0,2
661,0,0
662,2,2
663,1,1
664,4,4
665,3,3
666,1,1
667,1,1
668,1,1
669,4,4
670,0,1
671,0,0
672,0,0
673,1,3
674,2,2
675,3,3
676,3,3
677,0,0
678,3,3
679,0,0
680,1,0
681,3,3
682,2,2
683,0,0
684,4,2
685,1,1
686,3,3
687,2,2
688,4,4
689,1,3
690,4,4
691,2,2
692,3,1
693,4,4
694,3,3
695,4,4
696,3,3
697,1,1
698,3,3
699,0,0
700,2,2
701,0,0
702,1,4
703,1,1
704,0,0
705,0,0
706,1,3
707,4,4
708,0,0
709,0,1
710,2,2
711,3,3
712,4,4
713,4,4
714,1,1
715,0,0
716,0,4
717,1,1
718,4,2
719,0,0
720,4,4
721,1,1
722,4,4
723,0,0
724,0,0
725,4,2
726,0,1
727,2,0
728,1,2
729,1,1
730,2,2
731,0,2
732,3,3
733,0,0
734,0,0
735,1,1
736,0,0
737,1,1
738,4,2
739,0,0
740,1,1
741,3,3
742,0,0
743,4,0
744,3,3
745,0,0
746,3,3
747,4,4
748,2,2
749,2,2
750,4,4
751,4,4
752,2,2
753,2,2
754,4,4
755,1,1
756,1,1
757,2,0
758,0,1
759,3,3
760,3,3
761,0,0
762,4,0
763,1,0
764,2,2
765,2,0
766,4,4
767,4,2
768,3,3
769,1,1
770,0,2
771,4,4
772,2,2
773,3,3
774,4,4
775,4,4
776,4,4
777,4,4
778,0,4
779,4,4
