,preds_vec,true_vec
0,4,2
1,1,4
2,4,4
3,1,1
4,2,2
5,2,2
6,3,3
7,4,4
8,3,3
9,4,4
10,4,4
11,4,4
12,1,1
13,0,0
14,0,1
15,1,1
16,2,2
17,4,4
18,3,3
19,0,0
20,1,4
21,1,1
22,0,0
23,0,0
24,2,2
25,3,3
26,0,0
27,1,4
28,1,4
29,1,1
30,2,2
31,2,2
32,4,1
33,4,4
34,3,3
35,2,2
36,4,4
37,0,0
38,1,1
39,4,4
40,2,0
41,3,3
42,3,3
43,2,2
44,4,4
45,3,3
46,0,2
47,2,0
48,1,1
49,0,0
50,3,3
51,2,0
52,0,0
53,1,1
54,2,3
55,2,0
56,1,1
57,3,3
58,1,0
59,2,2
60,3,1
61,0,0
62,2,2
63,0,0
64,3,3
65,1,1
66,2,2
67,3,3
68,1,0
69,4,1
70,1,1
71,2,2
72,2,2
73,1,1
74,3,3
75,3,3
76,4,4
77,4,1
78,4,4
79,4,4
80,1,4
81,2,2
82,1,1
83,2,2
84,2,2
85,1,4
86,4,4
87,1,1
88,2,0
89,3,3
90,3,3
91,4,4
92,3,3
93,0,0
94,4,4
95,3,3
96,1,1
97,4,4
98,1,1
99,1,1
100,3,3
101,4,4
102,1,1
103,4,4
104,3,3
105,1,1
106,4,4
107,3,3
108,4,4
109,0,1
110,1,1
111,1,1
112,1,1
113,1,1
114,3,3
115,0,0
116,0,0
117,1,1
118,1,1
119,0,0
120,0,0
121,1,1
122,1,1
123,2,2
124,4,4
125,0,0
126,4,4
127,4,0
128,2,2
129,2,2
130,2,2
131,2,2
132,2,2
133,4,4
134,0,0
135,1,1
136,3,3
137,1,1
138,3,3
139,0,0
140,3,3
141,2,2
142,3,3
143,1,1
144,1,3
145,2,2
146,0,0
147,2,0
148,0,1
149,0,0
150,1,1
151,0,0
152,2,0
153,3,3
154,4,2
155,3,3
156,4,4
157,1,1
158,4,1
159,4,4
160,4,4
161,2,2
162,3,3
163,2,2
164,0,0
165,4,4
166,2,2
167,3,3
168,4,4
169,0,0
170,2,2
171,3,3
172,3,3
173,2,0
174,3,3
175,2,2
176,3,3
177,1,1
178,3,3
179,3,3
180,0,1
181,2,0
182,2,2
183,1,1
184,2,2
185,1,1
186,1,1
187,3,3
188,1,4
189,1,1
190,2,2
191,3,3
192,1,1
193,2,2
194,3,3
195,3,3
196,0,0
197,4,4
198,2,2
199,1,1
200,2,2
201,3,3
202,2,2
203,0,4
204,4,4
205,0,1
206,1,1
207,1,1
208,4,4
209,1,1
210,1,1
211,2,2
212,3,3
213,2,2
214,3,3
215,4,4
216,3,3
217,3,3
218,0,0
219,1,1
220,4,4
221,0,0
222,3,3
223,4,4
224,3,3
225,1,1
226,4,4
227,0,0
228,3,3
229,2,2
230,1,1
231,0,0
232,3,3
233,1,1
234,4,4
235,3,3
236,4,1
237,2,2
238,4,4
239,4,4
240,2,2
241,4,4
242,4,4
243,2,2
244,2,2
245,1,1
246,4,4
247,1,4
248,1,3
249,4,4
250,2,2
251,2,2
252,2,0
253,1,1
254,4,2
255,1,4
256,2,2
257,2,3
258,2,2
259,0,1
260,3,3
261,0,4
262,4,0
263,0,0
264,0,0
265,2,2
266,1,1
267,3,3
268,1,0
269,2,2
270,3,3
271,4,4
272,1,4
273,0,0
274,3,3
275,2,0
276,2,2
277,3,3
278,1,1
279,0,0
280,1,1
281,1,1
282,1,1
283,2,2
284,2,2
285,3,3
286,2,2
287,0,0
288,1,4
289,0,0
290,4,4
291,1,3
292,4,4
293,4,4
294,2,2
295,2,2
296,0,0
297,0,4
298,1,1
299,1,1
300,2,2
301,3,3
302,4,4
303,3,3
304,1,1
305,0,0
306,3,3
307,3,3
308,2,2
309,3,3
310,0,0
311,3,3
312,3,3
313,1,1
314,0,1
315,0,0
316,2,0
317,3,3
318,1,1
319,4,4
320,1,0
321,2,2
322,3,3
323,1,1
324,1,1
325,4,1
326,1,1
327,1,4
328,0,0
329,1,1
330,0,0
331,2,2
332,0,0
333,2,2
334,4,4
335,4,4
336,4,4
337,2,2
338,4,2
339,3,3
340,1,1
341,4,4
342,4,0
343,1,1
344,4,4
345,0,1
346,2,2
347,1,1
348,0,0
349,3,3
350,2,2
351,3,3
352,0,0
353,4,4
354,4,4
355,2,2
356,0,0
357,4,4
358,0,0
359,3,3
360,0,0
361,1,4
362,1,1
363,4,4
364,0,0
365,4,4
366,3,3
367,3,3
368,0,0
369,4,4
370,3,3
371,4,4
372,4,4
373,2,2
374,4,4
375,1,1
376,2,2
377,0,0
378,0,4
379,2,2
380,3,3
381,3,3
382,2,2
383,1,4
384,2,2
385,1,4
386,0,0
387,4,0
388,2,2
389,3,3
390,4,4
391,0,0
392,2,2
393,3,3
394,4,0
395,2,0
396,2,2
397,0,0
398,1,0
399,2,2
400,1,1
401,1,1
402,3,3
403,1,1
404,2,2
405,3,3
406,2,1
407,0,0
408,4,4
409,1,1
410,4,4
411,2,2
412,3,3
413,0,3
414,1,1
415,4,4
416,1,1
417,3,3
418,3,3
419,0,3
420,4,4
421,3,3
422,1,1
423,4,0
424,1,0
425,4,4
426,1,1
427,3,3
428,3,3
429,2,0
430,0,0
431,2,2
432,2,2
433,3,3
434,2,2
435,1,1
436,0,0
437,1,1
438,4,4
439,4,4
440,2,2
441,0,0
442,3,3
443,3,1
444,4,4
445,0,0
446,4,2
447,1,1
448,0,0
449,0,0
450,4,4
451,4,0
452,3,3
453,3,3
454,1,1
455,2,2
456,0,0
457,3,3
458,4,1
459,0,0
460,1,0
461,3,3
462,2,2
463,2,2
464,3,3
465,3,3
466,1,1
467,0,0
468,0,0
469,4,4
470,0,0
471,1,1
472,4,4
473,1,4
474,2,2
475,4,4
476,1,1
477,2,0
478,3,3
479,0,0
480,0,1
481,4,0
482,4,4
483,1,3
484,0,0
485,0,0
486,1,1
487,2,2
488,2,2
489,1,1
490,4,4
491,0,0
492,1,1
493,1,1
494,2,2
495,4,4
496,1,1
497,3,3
498,3,3
499,1,0
500,1,1
501,3,3
502,1,0
503,2,2
504,2,2
505,4,1
506,0,1
507,2,2
508,1,3
509,3,3
510,0,0
511,0,4
512,2,2
513,2,2
514,1,1
515,2,2
516,0,0
517,0,0
518,0,0
519,0,4
520,3,3
521,0,0
522,4,4
523,0,0
524,2,0
525,2,2
526,1,1
527,4,4
528,4,0
529,3,3
530,3,3
531,4,4
532,4,4
533,4,0
534,1,1
535,2,0
536,0,1
537,4,4
538,0,0
539,3,3
540,0,0
541,0,0
542,1,1
543,2,2
544,0,0
545,4,4
546,4,4
547,1,1
548,3,3
549,1,1
550,1,1
551,2,2
552,2,2
553,3,3
554,1,1
555,4,4
556,2,2
557,1,1
558,2,0
559,3,3
560,1,1
561,3,3
562,0,0
563,2,2
564,1,1
565,1,1
566,1,4
567,0,0
568,1,1
569,1,1
570,0,0
571,3,3
572,2,0
573,1,1
574,4,4
575,4,4
576,2,0
577,1,1
578,4,1
579,2,2
580,1,1
581,3,3
582,4,4
583,3,3
584,0,0
585,1,1
586,4,4
587,3,3
588,4,4
589,3,3
590,0,0
591,4,4
592,4,4
593,2,2
594,2,2
595,4,4
596,2,2
597,0,4
598,1,1
599,1,1
600,4,0
601,2,2
602,2,0
603,0,0
604,4,0
605,4,4
606,3,3
607,4,2
608,3,3
609,3,1
610,2,2
611,3,3
612,4,4
613,0,0
614,0,0
615,3,3
616,4,2
617,3,3
618,2,2
619,2,0
620,1,1
621,0,0
622,4,4
623,2,2
624,1,1
625,2,2
626,0,0
627,0,0
628,0,1
629,2,0
630,4,4
631,1,1
632,2,2
633,4,4
634,3,3
635,4,4
636,1,3
637,1,1
638,2,0
639,4,4
640,1,1
641,4,4
642,2,0
643,1,1
644,0,4
645,2,2
646,3,3
647,0,0
648,2,2
649,0,0
650,0,1
651,2,2
652,2,2
653,2,0
654,2,2
655,1,1
656,1,1
657,4,4
658,0,2
659,1,1
660,2,2
661,2,2
662,3,3
663,4,4
664,3,3
665,0,0
666,2,2
667,4,0
668,2,2
669,3,3
670,4,4
671,0,2
672,4,4
673,2,2
674,0,0
675,4,4
676,2,0
677,4,4
678,3,3
679,4,4
680,3,3
681,2,0
682,1,3
683,1,1
684,2,2
685,3,3
686,3,3
687,2,2
688,0,0
689,2,2
690,1,4
691,0,1
692,2,2
693,2,0
694,2,2
695,1,4
696,2,2
697,1,4
698,1,1
699,1,4
700,1,1
701,4,4
702,2,2
703,4,4
704,0,0
705,4,4
706,1,1
707,1,1
708,3,3
709,1,4
710,2,0
711,1,1
712,4,4
713,2,4
714,2,2
715,4,4
716,2,2
717,4,1
718,1,1
719,4,0
720,3,3
721,2,2
722,1,0
723,2,2
724,3,3
725,1,1
726,4,4
727,4,4
728,4,4
729,0,0
730,1,1
731,1,0
732,2,2
733,3,3
734,1,1
735,1,1
736,2,2
737,0,0
738,4,2
739,1,1
740,3,3
741,0,0
742,4,4
743,4,4
744,2,0
745,0,4
746,1,4
747,0,0
748,4,4
749,4,4
750,2,2
751,3,3
752,0,0
753,1,1
754,3,3
755,3,3
756,1,1
757,3,3
758,2,2
759,1,1
760,0,0
761,3,3
762,2,0
763,0,0
764,1,1
765,4,4
766,0,0
767,4,4
768,4,2
769,1,1
770,0,0
771,0,0
772,2,2
773,4,4
774,0,0
775,4,4
776,0,0
777,3,3
778,1,1
779,2,2
780,0,2
781,3,3
782,4,4
783,2,2
784,4,4
785,2,2
786,4,1
787,3,3
788,3,3
789,0,0
790,1,1
791,0,0
792,1,1
793,2,2
794,2,2
795,3,3
796,3,3
797,0,0
798,4,4
799,4,4
800,2,4
801,2,2
802,3,3
