,preds_vec,true_vec
0,3,3
1,1,1
2,0,0
3,1,1
4,0,0
5,3,3
6,3,3
7,2,2
8,3,3
9,4,4
10,0,0
11,3,3
12,1,1
13,4,4
14,2,2
15,0,0
16,3,3
17,4,4
18,4,4
19,1,1
20,2,2
21,4,4
22,2,2
23,4,4
24,4,4
25,0,0
26,3,3
27,1,1
28,2,2
29,3,3
30,0,0
31,1,1
32,2,2
33,1,1
34,4,4
35,2,2
36,2,2
37,4,4
38,0,0
39,3,3
40,4,4
41,2,2
42,1,1
43,1,1
44,3,3
45,2,2
46,3,3
47,4,4
48,4,4
49,3,3
50,0,0
51,4,4
52,3,3
53,3,3
54,3,3
55,4,0
56,4,4
57,3,3
58,0,0
59,1,1
60,0,0
61,0,0
62,0,0
63,1,1
64,1,1
65,1,1
66,2,2
67,4,4
68,3,3
69,0,0
70,3,3
71,4,4
72,1,1
73,2,2
74,1,1
75,4,4
76,4,4
77,4,4
78,3,3
79,2,2
80,1,1
81,0,0
82,4,4
83,1,1
84,1,1
85,3,3
86,2,2
87,3,3
88,3,3
89,0,0
90,3,3
91,3,3
92,1,1
93,2,2
94,1,1
95,2,2
96,2,2
97,2,2
98,2,2
99,1,1
100,3,3
101,3,3
102,0,0
103,1,1
104,3,3
105,4,4
106,0,0
107,4,4
108,3,3
109,3,3
110,2,1
111,3,3
112,0,0
113,1,1
114,2,2
115,4,4
116,1,1
117,0,0
118,4,4
119,3,3
120,3,3
121,0,0
122,3,3
123,3,3
124,1,1
125,2,2
126,0,0
127,3,3
128,2,2
129,2,4
130,3,3
131,2,2
132,1,1
133,2,2
134,4,0
135,1,1
136,1,1
137,3,3
138,1,1
139,2,2
140,4,4
141,4,4
142,0,0
143,3,3
144,3,3
145,3,3
146,3,3
147,1,1
148,1,1
149,0,0
150,1,1
151,3,3
152,4,4
153,4,4
154,0,0
155,1,1
156,2,2
157,2,2
158,1,1
159,0,0
160,1,1
161,2,2
162,4,4
163,4,4
164,3,3
165,2,2
166,2,2
167,1,1
168,1,1
169,2,2
170,2,2
171,0,0
172,2,2
173,0,0
174,4,0
175,4,4
176,0,0
177,0,0
178,0,0
179,3,3
180,0,0
181,4,4
182,1,1
183,1,1
184,1,1
185,2,2
186,4,4
187,3,3
188,3,3
189,1,1
190,3,3
191,4,4
192,4,4
193,2,2
194,1,1
195,1,1
196,3,3
197,1,1
198,0,0
199,0,0
200,4,4
201,4,0
202,0,0
203,0,0
204,3,3
205,4,4
206,3,3
207,1,4
208,4,0
209,2,2
210,1,3
211,0,0
212,0,0
213,2,2
214,3,3
215,0,0
216,4,4
217,4,4
218,0,0
219,1,1
220,3,3
221,3,3
222,2,2
223,0,0
224,0,0
225,0,0
226,4,4
227,3,3
228,3,3
229,1,1
230,3,3
231,0,0
232,2,2
233,3,3
234,0,0
235,1,1
236,0,0
237,4,4
238,3,3
239,2,2
240,4,4
241,3,3
242,4,4
243,3,3
244,1,1
245,3,3
246,1,1
247,2,2
248,0,0
249,2,2
250,1,1
251,3,3
252,1,1
253,3,3
254,2,0
255,0,0
256,1,1
257,4,4
258,0,0
259,2,2
260,4,4
261,2,2
262,1,1
263,4,4
264,2,2
265,0,0
266,1,1
267,0,0
268,2,2
269,3,3
270,1,4
271,2,2
272,2,4
273,2,2
274,4,4
275,1,1
276,2,2
277,3,3
278,4,4
279,1,1
280,1,1
281,2,2
282,0,0
283,3,3
284,4,4
285,0,0
286,2,2
287,1,1
288,1,1
289,2,4
290,3,3
291,4,4
292,1,1
293,3,3
294,3,3
295,0,0
296,4,4
297,4,4
298,4,4
299,2,2
300,2,4
301,4,4
302,4,4
303,2,2
304,2,2
305,2,2
306,3,3
307,4,4
308,2,2
309,0,0
310,3,3
311,1,1
312,4,4
313,3,3
314,2,2
315,4,4
316,3,3
317,0,0
318,2,2
319,3,3
320,1,1
321,4,4
322,2,2
323,2,2
324,3,3
325,4,4
326,0,0
327,1,1
328,4,4
329,3,3
330,0,0
331,2,4
332,1,1
333,1,1
334,1,1
335,2,2
336,4,4
337,2,2
338,3,3
339,2,2
340,2,2
341,4,4
342,3,3
343,1,1
344,0,0
345,1,1
346,0,0
347,3,3
348,4,0
349,4,4
350,1,1
351,1,3
352,4,4
353,4,4
354,2,2
355,3,3
356,3,3
357,1,1
358,2,2
359,0,0
360,4,4
361,0,0
362,4,4
363,0,0
364,3,3
365,4,4
366,4,4
367,1,1
368,4,4
369,2,2
370,3,3
371,2,2
372,3,3
373,1,1
374,0,0
375,0,0
376,3,3
377,3,3
378,1,1
379,3,3
380,4,4
381,2,2
382,1,1
383,0,0
384,0,0
385,3,3
386,4,4
387,3,3
388,2,2
389,1,1
390,2,2
391,2,0
392,1,1
393,1,0
394,4,4
395,3,3
396,2,2
397,3,3
398,4,4
399,0,0
400,0,0
401,2,2
402,1,1
403,0,0
404,0,0
405,1,1
406,1,1
407,2,2
408,3,3
409,3,3
410,1,1
411,4,4
412,1,1
413,1,1
414,2,2
415,1,1
416,2,2
417,4,4
418,1,1
419,3,3
420,0,0
421,4,4
422,0,0
423,2,2
424,1,1
425,4,2
426,4,4
427,2,2
428,2,2
429,3,3
430,3,3
431,1,1
432,0,0
433,3,3
434,1,1
435,0,0
436,2,2
437,2,2
438,1,1
439,0,0
440,4,4
441,4,4
442,4,4
443,1,1
444,1,1
445,0,0
446,4,4
447,1,1
448,3,3
449,3,3
450,1,1
451,0,0
452,2,0
453,3,3
454,4,4
455,3,3
456,1,1
457,4,4
458,3,3
459,4,4
460,2,2
461,1,1
462,3,3
463,2,2
464,1,1
465,3,3
466,2,2
467,1,1
468,0,0
469,0,0
470,1,1
471,3,3
472,3,0
473,3,3
474,3,3
475,3,3
476,0,0
477,3,3
478,2,2
479,0,0
480,2,4
481,2,2
482,3,3
483,2,2
484,2,2
485,4,4
486,0,0
487,0,0
488,2,4
489,1,1
490,2,2
491,2,2
492,2,2
493,1,1
494,4,4
495,2,2
496,1,1
497,3,3
498,0,0
499,0,0
500,0,0
501,4,4
502,2,2
503,3,3
504,0,0
505,2,2
506,2,2
507,1,1
508,4,4
509,2,2
510,2,4
511,1,1
512,2,2
513,2,4
514,2,2
515,3,3
516,2,2
517,0,0
518,4,4
519,1,0
520,3,0
521,2,2
522,4,4
523,1,1
524,4,4
525,0,0
526,2,2
527,2,2
528,1,1
529,1,1
530,1,1
531,0,0
532,3,3
533,1,1
534,0,0
535,1,1
536,2,2
537,1,1
538,4,4
539,3,3
540,2,4
541,2,2
542,4,4
543,4,4
544,2,1
545,4,2
546,3,3
547,0,0
548,0,0
549,0,0
550,2,2
551,0,0
552,0,0
553,2,2
554,3,3
555,1,1
556,0,0
557,4,4
558,2,2
559,2,4
560,0,2
561,2,2
562,2,2
563,0,0
564,2,2
565,3,3
566,3,3
567,1,1
568,2,2
569,2,2
570,1,1
571,2,2
572,0,0
573,1,0
574,2,2
575,1,1
576,3,3
577,4,0
578,2,2
579,2,2
580,0,0
581,4,4
582,2,2
583,2,2
584,1,1
585,0,0
586,4,4
587,3,3
588,0,0
589,1,1
590,4,4
591,1,1
592,4,4
593,1,1
594,4,4
595,3,3
596,2,2
597,1,1
598,3,3
599,0,0
600,1,1
601,1,1
602,0,0
603,4,4
604,2,4
605,0,0
606,4,4
607,4,4
608,4,4
609,2,2
610,4,4
611,4,4
612,0,0
613,0,0
614,0,0
615,3,3
616,3,3
617,4,4
618,4,4
619,2,2
620,2,2
621,4,4
622,2,2
623,0,0
624,0,2
625,0,0
626,4,4
627,3,3
628,4,4
629,4,4
630,1,3
631,4,4
632,1,1
633,4,4
634,4,4
635,2,0
636,1,1
637,0,0
638,1,1
639,3,3
640,3,3
641,1,1
642,3,3
643,0,0
644,1,1
645,4,4
646,4,4
647,2,2
648,4,4
649,4,4
650,3,3
651,0,0
652,3,3
653,2,2
654,3,3
655,4,4
656,1,1
657,0,0
658,3,3
659,2,2
660,1,1
661,4,4
662,4,4
663,1,1
664,1,1
665,1,1
666,0,0
667,3,3
668,0,0
669,4,4
670,4,4
671,2,2
672,3,3
673,4,4
674,0,0
675,1,1
676,1,3
677,2,4
678,0,0
679,0,0
680,3,3
681,1,3
682,2,2
683,2,2
684,1,1
685,1,1
686,2,2
687,1,1
688,1,1
689,2,2
690,4,4
691,2,2
692,3,3
693,1,1
694,4,2
695,2,2
696,2,2
697,4,4
698,1,1
699,0,0
700,3,3
701,2,2
702,0,0
703,0,0
704,3,3
705,1,1
706,1,1
707,1,1
708,0,0
709,1,1
710,3,3
711,0,0
712,4,4
713,1,1
714,2,2
715,0,0
716,0,2
717,4,4
718,1,1
719,3,3
720,4,4
721,2,2
722,2,2
723,0,0
724,0,0
725,2,2
726,4,4
727,4,4
728,3,3
729,1,1
730,4,4
731,0,0
732,4,4
733,2,2
734,2,2
735,0,0
736,0,0
737,1,1
738,3,3
739,3,3
740,3,3
741,4,4
742,2,2
743,2,2
744,3,3
745,4,4
746,1,4
747,2,2
748,1,1
749,3,3
750,0,0
751,2,2
752,0,0
753,3,3
754,1,1
755,1,1
756,2,2
757,0,0
758,1,1
759,3,3
760,2,2
761,4,4
762,4,4
763,2,2
764,3,3
765,1,1
766,4,4
767,3,3
768,0,0
769,4,4
770,4,4
771,3,3
772,3,3
773,0,0
774,2,2
775,4,4
776,2,2
777,4,4
778,3,3
779,4,0
780,2,2
781,3,3
782,2,2
783,1,1
784,4,4
785,2,2
786,0,2
787,1,1
788,0,0
789,4,4
790,2,2
791,0,0
792,3,3
793,0,0
794,4,4
795,2,2
796,0,0
797,0,0
798,0,0
799,2,2
800,3,3
801,0,0
802,0,0
803,2,2
804,2,2
805,0,0
806,2,2
807,4,4
808,1,1
809,3,3
810,2,2
811,1,1
812,1,1
813,4,4
814,2,2
815,1,1
816,1,1
817,3,3
818,2,2
819,4,4
820,4,4
821,1,1
822,0,0
823,4,4
824,2,0
825,2,2
826,3,3
827,2,2
828,3,3
829,1,1
830,2,2
831,0,0
832,1,3
833,0,0
834,4,0
835,0,0
836,0,0
837,2,2
838,1,1
839,2,2
840,3,3
841,1,1
842,1,1
843,4,4
844,0,0
845,1,1
846,0,0
847,1,1
848,3,3
849,2,2
850,3,3
851,2,2
852,4,0
853,3,3
854,0,0
855,4,4
856,4,4
857,2,2
858,0,0
859,1,4
860,4,4
861,1,1
862,3,3
863,1,0
864,2,2
865,4,4
866,4,4
867,2,2
868,4,4
869,3,3
870,0,0
871,1,1
872,3,3
873,1,1
874,2,2
875,4,4
876,3,3
877,3,3
878,1,1
879,2,2
880,3,3
881,4,4
882,4,4
883,0,0
884,0,0
885,1,1
886,3,3
887,3,3
888,2,2
889,1,1
890,0,0
891,3,3
892,1,1
893,3,3
894,0,0
895,4,4
896,1,1
897,2,2
898,1,4
899,3,3
900,4,1
901,3,3
902,1,1
903,0,0
904,3,3
905,4,4
906,3,3
907,4,4
908,3,3
909,1,1
910,3,3
911,4,0
912,1,1
913,2,2
914,2,2
915,1,1
916,2,2
917,4,4
918,2,2
919,1,1
920,4,4
921,2,2
922,2,2
923,2,2
924,4,4
925,4,4
926,3,3
927,4,0
928,1,1
929,4,4
930,3,3
931,0,0
932,0,0
933,4,4
934,0,0
935,3,3
936,1,1
937,0,0
938,2,2
939,3,1
940,2,2
941,0,0
942,3,3
943,1,1
944,0,0
945,2,2
946,1,1
947,2,2
948,0,0
949,4,4
950,3,3
951,1,1
952,3,3
953,1,1
954,0,0
955,4,4
956,4,4
957,1,1
958,1,1
959,4,4
960,2,2
961,1,1
962,1,3
963,2,2
964,1,1
965,3,3
966,1,1
967,0,0
968,3,3
969,3,3
970,4,4
971,1,1
972,0,0
973,4,4
974,1,1
975,0,0
976,0,0
977,3,3
978,1,1
979,0,0
980,1,1
981,1,1
982,4,4
983,1,1
984,3,3
985,4,4
986,0,0
987,2,2
988,1,1
989,0,0
990,2,2
991,2,2
992,3,3
993,0,0
994,0,0
995,4,4
996,2,2
997,4,4
998,1,1
999,2,0
